vessel_client,customer,date_plugged,time_plugged,container_number,operation_type,shipping_line,plugged_status,tonnage,set_point,date_out,location,days_on_plug,plugin_price,monitoring_price,electricity_unit_price,total_electricity,total
PLAYA DE AZKORRI,IOT,2023-12-27,15:10:00.000000000,TCLU1228570,Plugin,IOT,Full,25.69,-25,2024-01-26,IOT,31,25.0,30.0,70.0,2170.0,2225.0
IZARO,IOT,2023-12-28,14:02:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Full,26.69,-25,2024-01-13,IOT,17,25.0,30.0,70.0,1190.0,1245.0
PLAYA DE AZKORRI,IOT,2023-12-28,16:43:00.000000000,TCLU1265342,Plugin,IOT,Full,25.97,-25,2024-01-08,Unload Container to CCCS,12,25.0,30.0,70.0,840.0,895.0
PLAYA DE RIS,IOT,2024-01-03,16:00:00.000000000,TCLU1216461,Plugin,IOT,Full,26.19,-25,2024-01-08,IOT,6,25.0,30.0,70.0,420.0,475.0
ELAI ALAI,IOT,2024-01-09,16:45:00.000000000,TCLU1265342,Stuffing and Plugin,IOT,Full,26.82,-25,2024-02-04,IOT,27,25.0,30.0,70.0,1890.0,1945.0
TXORI ARGI,IOT,2024-02-10,16:00:00.000000000,TCLU1228570,Stuffing and Plugin,IOT,Full,27.02,-25,2024-02-29,IOT,20,25.0,30.0,70.0,1400.0,1455.0
GLENAN,IOT,2024-03-13,17:05:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Partial,22.6,-25,2024-03-14,For Completion,1,25.0,0.0,70.0,70.0,95.0
GLENAN,IOT,2024-03-14,11:50:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Completed,5.32,-25,2024-03-28,Fishing Port,15,25.0,30.0,70.0,1050.0,1105.0
PLAYA DE RIS,IOT,2024-05-01,15:30:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Full,26.91,-25,2024-05-20,Fishing Port,20,25.0,30.0,70.0,1400.0,1455.0
TXORI GORRI,IOT,2024-06-01,12:18:00.000000000,TCLU1228570,Stuffing and Plugin,IOT,Full,26.83,-25,2024-06-04,IOT,4,25.0,30.0,70.0,280.0,335.0
EUSKADI ALAI,IOT,2024-06-08,17:16:00.000000000,TCLU1216461,Stuffing and Plugin,IOT,Partial,12.83,-25,2024-06-09,For Completion,1,25.0,0.0,70.0,70.0,95.0
EUSKADI ALAI,IOT,2024-06-09,10:30:00.000000000,TCLU1216461,Stuffing and Plugin,IOT,Completed,14.46,-25,2024-06-13,IOT,5,25.0,30.0,70.0,350.0,405.0
IZURDIA,IOT,2024-07-31,15:55:00.000000000,TCLU1228570,Stuffing and Plugin,IOT,Full,27.87,-25,2024-08-08,IOT,9,25.0,30.0,70.0,630.0,685.0
IZURDIA,IOT,2024-08-01,17:00:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Partial,17.92,-25,2024-08-02,For Completion,1,25.0,0.0,70.0,70.0,95.0
IZURDIA,IOT,2024-08-02,09:56:00.000000000,TCLU1221914,Stuffing and Plugin,IOT,Completed,9.44,-25,2024-08-09,IOT,8,25.0,30.0,70.0,560.0,615.0
