date,container_number,customer,movement_type,driver,from,time_out,destination,time_in,status,remarks,num_of_scows
2024-01-04,STDU6536343,IOT,Collection,David,IOT,08:55:00.000000000,CCCS,09:20:00.000000000,Empty,IOT,26
2024-01-04,STDU6536343,IOT,Delivery,David,CCCS,10:00:00.000000000,IOT,10:10:00.000000000,Full,IOT,13
2024-01-04,STDU6536343,IOT,Collection,David,IOT,10:30:00.000000000,CCCS,10:40:00.000000000,Empty,IOT,26
2024-01-04,STDU6536343,IOT,Delivery,David,CCCS,11:10:00.000000000,IOT,11:20:00.000000000,Full,IOT,13
2024-01-04,STDU6536343,IOT,Collection,David,IOT,11:55:00.000000000,CCCS,12:06:00.000000000,Empty,IOT,26
2024-01-05,STDU6536343,IOT,Collection,David,IOT,09:40:00.000000000,CCCS,09:50:00.000000000,Empty,IOT,26
2024-01-05,STDU6536343,IOT,Delivery,David,CCCS,10:20:00.000000000,IOT,10:30:00.000000000,Full,IOT,13
2024-01-05,STDU6536343,IOT,Collection,David,IOT,10:55:00.000000000,CCCS,11:15:00.000000000,Empty,IOT,26
2024-01-05,STDU6536343,IOT,Delivery,David,CCCS,11:40:00.000000000,IOT,11:49:00.000000000,Full,IOT,13
2024-01-05,STDU6536343,IOT,Collection,David,IOT,12:25:00.000000000,CCCS,12:45:00.000000000,Empty,IOT,26
2024-01-05,STDU6536343,IOT,Delivery,David,CCCS,13:10:00.000000000,IOT,13:20:00.000000000,Full,IOT,13
2024-01-05,STDU6536343,IOT,Collection,David,IOT,13:45:00.000000000,CCCS,13:55:00.000000000,Empty,IOT,26
2024-01-05,STDU6536343,IOT,Delivery,David,CCCS,16:00:00.000000000,IOT,16:12:00.000000000,Full,IOT,13
2024-01-08,STDU6536343,IOT,Collection,Paul,IOT,09:40:00.000000000,CCCS,09:50:00.000000000,Empty,IOT,26
2024-01-08,STDU6536343,IOT,Delivery,Paul,CCCS,10:25:00.000000000,IOT,10:35:00.000000000,Full,IOT,26
2024-01-08,STDU6536343,IOT,Collection,Paul,IOT,11:00:00.000000000,CCCS,11:10:00.000000000,Empty,IOT,26
2024-01-08,STDU6536343,IOT,Delivery,Paul,CCCS,11:45:00.000000000,IOT,11:55:00.000000000,Full,IOT,26
2024-01-08,STDU6536343,IOT,Collection,Paul,IOT,12:25:00.000000000,CCCS,12:35:00.000000000,Empty,IOT,16
2024-01-08,STDU6536343,IOT,Delivery,Paul,CCCS,13:30:00.000000000,IOT,13:40:00.000000000,Full,IOT,26
2024-01-08,STDU6536343,IOT,Delivery,Paul,CCCS,15:00:00.000000000,IOT,15:10:00.000000000,Full,IOT,26
2024-01-08,STDU6536343,IOT,Delivery,Paul,CCCS,16:15:00.000000000,IOT,16:25:00.000000000,Full,IOT,21
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,08:50:00.000000000,IOT,09:00:00.000000000,Full,IOT,13
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,09:40:00.000000000,IOT,09:50:00.000000000,Full,IOT,13
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,10:30:00.000000000,IOT,10:40:00.000000000,Full,IOT,13
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,11:20:00.000000000,IOT,11:30:00.000000000,Full,IOT,13
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,12:15:00.000000000,IOT,12:25:00.000000000,Full,IOT,13
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,13:30:00.000000000,IOT,13:40:00.000000000,Full,IOT,13
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,14:35:00.000000000,IOT,14:45:00.000000000,Full,IOT,13
2024-01-11,STDU6536343,IOT,Delivery,Paul,CCCS,15:35:00.000000000,IOT,15:45:00.000000000,Full,IOT,13
2024-01-12,STDU6536343,IOT,Collection,Paul,IOT,08:40:00.000000000,CCCS,08:50:00.000000000,Empty,IOT,39
2024-01-12,STDU6536343,IOT,Delivery,Paul,CCCS,09:35:00.000000000,IOT,09:45:00.000000000,Full,IOT,13
2024-01-12,STDU6536343,IOT,Collection,Paul,IOT,10:10:00.000000000,CCCS,10:20:00.000000000,Empty,IOT,39
2024-01-12,STDU6536343,IOT,Delivery,Paul,CCCS,11:10:00.000000000,IOT,11:20:00.000000000,Full,IOT,13
2024-01-12,STDU6536343,IOT,Collection,Paul,IOT,11:40:00.000000000,CCCS,11:50:00.000000000,Empty,IOT,26
2024-01-12,STDU6536343,IOT,Delivery,Paul,CCCS,12:30:00.000000000,IOT,12:40:00.000000000,Full,IOT,13
2024-01-12,STDU6536343,IOT,Collection,Paul,IOT,13:00:00.000000000,CCCS,13:10:00.000000000,Empty,IOT,26
2024-01-12,STDU6536343,IOT,Delivery,Paul,CCCS,15:00:00.000000000,IOT,15:10:00.000000000,Full,IOT,13
2024-01-15,STDU6536343,IOT,Collection,David,IOT,08:45:00.000000000,CCCS,08:53:00.000000000,Empty,IOT,26
2024-01-15,STDU6536343,IOT,Delivery,David,CCCS,09:40:00.000000000,IOT,09:55:00.000000000,Full,IOT,13
2024-01-15,STDU6536343,IOT,Collection,David,IOT,10:30:00.000000000,CCCS,10:40:00.000000000,Empty,IOT,26
2024-01-15,STDU6536343,IOT,Delivery,David,CCCS,11:00:00.000000000,IOT,11:05:00.000000000,Full,IOT,13
2024-01-15,STDU6536343,IOT,Collection,David,IOT,11:25:00.000000000,CCCS,12:00:00.000000000,Empty,IOT,26
2024-01-15,STDU6536343,IOT,Delivery,David,CCCS,12:30:00.000000000,IOT,12:40:00.000000000,Full,IOT,26
2024-01-15,STDU6536343,IOT,Collection,David,IOT,13:05:00.000000000,CCCS,13:15:00.000000000,Empty,IOT,26
2024-01-15,STDU6536343,IOT,Delivery,David,CCCS,14:55:00.000000000,IOT,15:05:00.000000000,Full,IOT,26
2024-01-15,STDU6536343,IOT,Collection,David,IOT,15:35:00.000000000,CCCS,15:44:00.000000000,Empty,IOT,26
2024-01-15,STDU6536343,IOT,Collection,David,IOT,16:55:00.000000000,CCCS,17:00:00.000000000,Empty,IOT,26
2024-01-16,STDU6536343,IOT,Collection,David,IOT,08:30:00.000000000,CCCS,08:40:00.000000000,Empty,IOT,26
2024-01-16,STDU6536343,IOT,Delivery,David,CCCS,11:00:00.000000000,IOT,11:10:00.000000000,Full,IOT,26
2024-01-16,STDU6536343,IOT,Collection,David,IOT,11:30:00.000000000,CCCS,11:35:00.000000000,Empty,IOT,26
2024-01-16,STDU6536343,IOT,Delivery,David,CCCS,13:00:00.000000000,IOT,13:10:00.000000000,Full,IOT,26
2024-01-16,STDU6536343,IOT,Collection,David,IOT,13:35:00.000000000,CCCS,13:45:00.000000000,Empty,IOT,26
2024-01-16,STDU6536343,IOT,Delivery,David,CCCS,15:30:00.000000000,IOT,15:35:00.000000000,Full,IOT,8
2024-01-16,STDU6536343,IOT,Collection,David,IOT,15:45:00.000000000,CCCS,15:55:00.000000000,Empty,IOT,26
2024-01-17,STDU6536343,IOT,Delivery,David,CCCS,09:40:00.000000000,IOT,09:50:00.000000000,Full,IOT,26
2024-01-17,STDU6536343,IOT,Collection,David,IOT,10:30:00.000000000,CCCS,10:40:00.000000000,Empty,IOT,26
2024-01-17,STDU6536343,IOT,Delivery,David,CCCS,15:40:00.000000000,IOT,15:50:00.000000000,Full,IOT,26
