date,container_number,invoice_to,service_remarks,price
2025-01-04,MCAU6001185,MAERSKLINE,Clean,30
2025-01-04,MMAU1018360,MAERSKLINE,Clean,30
2025-01-04,MMAU1265502,MAERSKLINE,Clean,30
2025-01-04,MMAU1278644,MAERSKLINE,Clean,30
2025-01-04,MMAU1384076,MAERSKLINE,Clean,30
2025-01-04,MNBU0096855,MAERSKLINE,Clean,30
2025-01-04,MNBU0124936,MAERSKLINE,Clean,30
2025-01-04,MNBU0227370,MAERSKLINE,Clean,30
2025-01-04,MNBU0235328,MAERSKLINE,Clean,30
2025-01-04,MNBU0324739,MAERSKLINE,Clean,30
2025-01-04,MNBU0325150,MAERSKLINE,Clean,30
2025-01-04,MNBU0384105,MAERSKLINE,Clean,30
2025-01-04,MNBU0407392,MAERSKLINE,Clean,30
2025-01-04,MNBU0429196,MAERSKLINE,Clean,30
2025-01-04,MNBU0568397,MAERSKLINE,Clean,30
2025-01-04,MNBU0614912,MAERSKLINE,Clean,30
2025-01-04,MNBU0648759,MAERSKLINE,Clean,30
2025-01-04,MNBU3025475,MAERSKLINE,Clean,30
2025-01-04,MNBU3082990,MAERSKLINE,Clean,30
2025-01-04,MNBU3286503,MAERSKLINE,Clean,30
2025-01-04,MNBU3439881,MAERSKLINE,Clean,30
2025-01-04,MNBU3446073,MAERSKLINE,Clean,30
2025-01-04,MNBU3512339,MAERSKLINE,Clean,30
2025-01-04,MNBU3524751,MAERSKLINE,Clean,30
2025-01-04,MNBU3580781,MAERSKLINE,Clean,30
2025-01-04,MNBU3843213,MAERSKLINE,Clean,30
2025-01-04,MNBU3877717,MAERSKLINE,Clean,30
2025-01-04,MNBU3902738,MAERSKLINE,Clean,30
2025-01-04,MNBU3966291,MAERSKLINE,Clean,30
2025-01-04,MNBU4229386,MAERSKLINE,Clean,30
2025-01-04,MNBU4337230,MAERSKLINE,Clean,30
2025-01-04,MNBU4375502,MAERSKLINE,Clean,30
2025-01-04,MNBU4457180,MAERSKLINE,Clean,30
2025-01-04,MNBU4463856,MAERSKLINE,Clean,30
2025-01-04,MNBU9029673,MAERSKLINE,Clean,30
2025-01-04,MNBU9041792,MAERSKLINE,Clean,30
2025-01-04,MNBU9089672,MAERSKLINE,Clean,30
2025-01-04,MSFU0005503,MAERSKLINE,Clean,30
2025-01-04,MSWU0034476,MAERSKLINE,Clean,30
2025-01-04,MSWU0105477,MAERSKLINE,Clean,30
2025-01-04,MSWU1012316,MAERSKLINE,Clean,30
2025-01-04,SUDU6079700,MAERSKLINE,Clean,30
2025-01-04,SUDU6198037,MAERSKLINE,Clean,30
2025-01-04,SUDU6258840,INVALID,Clean,0
2025-01-04,SUDU8013024,MAERSKLINE,Clean,30
2025-01-04,SUDU8029530,MAERSKLINE,Clean,30
2025-01-04,SUDU8039986,MAERSKLINE,Clean,30
2025-01-04,SUDU8101254,MAERSKLINE,Clean,30
2025-01-04,SUDU8221115,MAERSKLINE,Clean,30
2025-01-04,SUDU9204010,MAERSKLINE,Clean,30
2025-01-04,TLLU1224315,MAERSKLINE,Clean,30
2025-01-04,TRIU8864476,IOT,Unload to Auriga  - Clean,30
2025-01-04,TTNU8193049,IOT,Unload to Auriga  - Clean,30
2025-01-05,BMOU9629660,CMA CGM,Clean,30
2025-01-05,BMOU9763540,CMA CGM,Clean,30
2025-01-05,CGMU5247948,CMA CGM,Clean,30
2025-01-05,CGMU5279544,CMA CGM,Clean,30
2025-01-05,CGMU5296201,CMA CGM,Clean,30
2025-01-05,CGMU5298570,CMA CGM,Clean,30
2025-01-05,CGMU5318240,CMA CGM,Clean,30
2025-01-05,CGMU5361159,CMA CGM,Clean,30
2025-01-05,CGMU5404760,CMA CGM,Clean,30
2025-01-05,CGMU6544452,CMA CGM,Clean,30
2025-01-05,CGMU9328293,CMA CGM,Clean,30
2025-01-05,CGMU9351924,CMA CGM,Clean,30
2025-01-05,CXRU1251916,CMA CGM,Clean,30
2025-01-05,GESU9591763,CMA CGM,Clean,30
2025-01-05,MMAU1160327,MAERSKLINE,Clean,30
2025-01-05,MNBU0032228,MAERSKLINE,Clean,30
2025-01-05,MNBU0129389,MAERSKLINE,Clean,30
2025-01-05,MNBU0138020,MAERSKLINE,Clean,30
2025-01-05,MNBU0236643,MAERSKLINE,Clean,30
2025-01-05,MNBU0314828,MAERSKLINE,Clean,30
2025-01-05,MNBU0372660,MAERSKLINE,Clean,30
2025-01-05,MNBU0410483,MAERSKLINE,Clean,30
2025-01-05,MNBU0522879,MAERSKLINE,Clean,30
2025-01-05,MNBU0565314,MAERSKLINE,Clean,30
2025-01-05,MNBU3185010,MAERSKLINE,Clean,30
2025-01-05,MNBU3256704,MAERSKLINE,Clean,30
2025-01-05,MNBU3347213,MAERSKLINE,Clean,30
2025-01-05,MNBU3422282,MAERSKLINE,Clean,30
2025-01-05,MNBU3443686,MAERSKLINE,Clean,30
2025-01-05,MNBU3594506,MAERSKLINE,Clean,30
2025-01-05,MNBU3643278,MAERSKLINE,Clean,30
2025-01-05,MNBU3867977,MAERSKLINE,Clean,30
2025-01-05,MNBU3889430,MAERSKLINE,Clean,30
2025-01-05,MNBU3894777,MAERSKLINE,Clean,30
2025-01-05,MNBU4002710,MAERSKLINE,Clean,30
2025-01-05,MNBU4106571,MAERSKLINE,Clean,30
2025-01-05,MNBU4203252,MAERSKLINE,Clean,30
2025-01-05,MNBU4452419,MAERSKLINE,Clean,30
2025-01-05,MNBU4463666,MAERSKLINE,Clean,30
2025-01-05,MWCU5261229,MAERSKLINE,Clean,30
2025-01-05,SUDU6195716,MAERSKLINE,Clean,30
2025-01-05,SUDU6220167,MAERSKLINE,Clean,30
2025-01-05,SUDU6271816,MAERSKLINE,Clean,30
2025-01-05,SUDU8096292,MAERSKLINE,Clean,30
2025-01-05,SUDU8112388,MAERSKLINE,Clean,30
2025-01-05,SUDU9314188,MAERSKLINE,Clean,30
2025-01-05,SZLU9625218,CMA CGM,Clean,30
2025-01-05,SZLU9828339,CMA CGM,Clean,30
2025-01-05,TEMU9214858,CMA CGM,Clean,30
2025-01-05,TRIU8676519,CMA CGM,Clean,30
2025-01-05,TTNU8446147,CMA CGM,Clean,30
2025-01-05,TTNU8513311,CMA CGM,Clean,30
2025-01-06,MMAU1002260,MAERSKLINE,Clean,30
2025-01-06,MMAU1140980,MAERSKLINE,Clean,30
2025-01-06,MNBU0362580,MAERSKLINE,Clean,30
2025-01-06,MNBU0465779,MAERSKLINE,Clean,30
2025-01-06,MNBU3293333,MAERSKLINE,Clean,30
2025-01-06,MNBU3710740,MAERSKLINE,Clean,30
2025-01-06,MNBU4086120,MAERSKLINE,Clean,30
2025-01-06,MNBU9033919,MAERSKLINE,Clean,30
2025-01-06,TCLU1218470,IOT,Unload to Auriga  - Clean,30
2025-01-06,TLLU1194170,MAERSKLINE,Clean,30
2025-01-06,TTNU8281643,IOT,Unload to Auriga  - Clean,30
2025-01-07,MMAU1160327,INVALID,Clean,0
2025-01-07,MNBU0151886,MAERSKLINE,Clean,30
2025-01-07,MNBU0540337,MAERSKLINE,Clean,30
2025-01-07,MNBU3093090,MAERSKLINE,Clean,30
2025-01-07,MNBU3145151,MAERSKLINE,Clean,30
2025-01-07,MNBU3256704,INVALID,Clean,0
2025-01-07,MNBU3603845,MAERSKLINE,Clean,30
2025-01-07,MNBU3689577,MAERSKLINE,Clean,30
2025-01-07,MNBU3714670,MAERSKLINE,Clean,30
2025-01-07,MNBU3714807,MAERSKLINE,Clean,30
2025-01-07,MNBU3728375,MAERSKLINE,Clean,30
2025-01-07,MNBU9067903,MAERSKLINE,Clean,30
2025-01-07,MNBU9096049,MAERSKLINE,Clean,30
2025-01-07,MNBU9148008,MAERSKLINE,Clean,30
2025-01-07,SUDU6023770,MAERSKLINE,Clean,30
2025-01-07,SUDU8072393,MAERSKLINE,Clean,30
2025-01-08,MMAU1232345,MAERSKLINE,Clean,30
2025-01-08,MNBU0155460,MAERSKLINE,Clean,30
2025-01-08,MNBU0279291,MAERSKLINE,Clean,30
2025-01-08,MNBU0356905,MAERSKLINE,Clean,30
2025-01-08,MNBU0420157,MAERSKLINE,Clean,30
2025-01-08,MNBU0549294,MAERSKLINE,Clean,30
2025-01-08,MNBU3147468,MAERSKLINE,Clean,30
2025-01-08,MNBU3190850,MAERSKLINE,Clean,30
2025-01-08,MNBU3287080,MAERSKLINE,Clean,30
2025-01-08,MNBU3300324,MAERSKLINE,Clean,30
2025-01-08,MNBU4093155,MAERSKLINE,Clean,30
2025-01-08,MNBU4415565,MAERSKLINE,Clean,30
2025-01-08,MNBU4440758,MAERSKLINE,Clean,30
2025-01-08,SUDU6279801,MAERSKLINE,Clean,30
2025-01-08,TRIU8037143,MAERSKLINE,Clean,30
2025-01-09,MNBU0279291,INVALID,Clean,0
2025-01-09,MNBU0388712,MAERSKLINE,Clean,30
2025-01-09,MNBU0568397,INVALID,Clean,0
2025-01-09,MNBU0653035,MAERSKLINE,Clean,30
2025-01-09,MNBU3096951,MAERSKLINE,Clean,30
2025-01-09,MNBU3147468,INVALID,Clean,0
2025-01-09,MNBU3234011,MAERSKLINE,Clean,30
2025-01-09,MNBU3300324,INVALID,Clean,0
2025-01-09,MNBU3618070,MAERSKLINE,Clean,30
2025-01-09,MNBU3631390,MAERSKLINE,Clean,30
2025-01-09,MNBU4113626,MAERSKLINE,Clean,30
2025-01-09,MNBU4415565,INVALID,Clean,0
2025-01-09,MNBU4458802,MAERSKLINE,Clean,30
2025-01-09,MNBU9006744,MAERSKLINE,Clean,30
2025-01-09,MSFU0005627,MAERSKLINE,Clean,30
2025-01-09,MSFU0013601,MAERSKLINE,Clean,30
2025-01-09,MSFU0013751,MAERSKLINE,Clean,30
2025-01-09,MSFU0013793,MAERSKLINE,Clean,30
2025-01-09,MSFU0013807,MAERSKLINE,Clean,30
2025-01-09,SUDU6279801,INVALID,Clean,0
2025-01-10,MNBU0076102,MAERSKLINE,Clean,30
2025-01-10,MNBU0226922,MAERSKLINE,Clean,30
2025-01-10,MNBU0422123,MAERSKLINE,Clean,30
2025-01-10,MNBU0494761,MAERSKLINE,Clean,30
2025-01-10,MNBU0562362,MAERSKLINE,Clean,30
2025-01-10,MNBU3127517,MAERSKLINE,Clean,30
2025-01-10,MNBU3145151,INVALID,Clean,0
2025-01-10,MNBU3190850,INVALID,Clean,0
2025-01-10,MNBU3286503,INVALID,Clean,0
2025-01-10,MNBU3512339,INVALID,Clean,0
2025-01-10,MNBU3781575,MAERSKLINE,Clean,30
2025-01-10,MNBU3902738,INVALID,Clean,0
2025-01-10,MNBU4264638,MAERSKLINE,Clean,30
2025-01-10,MNBU4283670,MAERSKLINE,Clean,30
2025-01-10,MNBU9029673,INVALID,Clean,0
2025-01-10,MSWU0037367,MAERSKLINE,Clean,30
2025-01-10,SUDU8013024,INVALID,Clean,0
2025-01-10,SUDU8207420,MAERSKLINE,Clean,30
2025-01-11,CGMU5413627,CMA CGM,Clean,30
2025-01-11,CGMU5504780,CMA CGM,Clean,30
2025-01-11,FBIU5125605,CMA CGM,Clean,30
2025-01-11,MNBU0117201,MAERSKLINE,Clean,30
2025-01-11,MNBU0147187,MAERSKLINE,Clean,30
2025-01-11,MNBU0182450,MAERSKLINE,Clean,30
2025-01-11,MNBU0370708,MAERSKLINE,Clean,30
2025-01-11,MNBU0397890,MAERSKLINE,Clean,30
2025-01-11,MNBU0589620,MAERSKLINE,Clean,30
2025-01-11,MNBU0641625,MAERSKLINE,Clean,30
2025-01-11,MNBU3426246,MAERSKLINE,Clean,30
